epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,897.738,0.93872,0.78238,0.97127,0.99677,1,0.995,0.75877,0.87464,0.89191,1.02368,0.0011288,0.0011288,0.0011288
46,917.243,0.97958,0.73212,0.99284,0.9966,1,0.995,0.74676,1.02629,0.93217,1.13828,0.001109,0.001109,0.001109
47,936.817,0.9332,0.73945,0.9498,0.99668,1,0.995,0.75393,1.05526,0.91199,1.18254,0.0010892,0.0010892,0.0010892
48,956.766,0.9653,0.76987,1.0009,0.99659,1,0.995,0.77097,0.96153,0.8207,1.08079,0.0010694,0.0010694,0.0010694
49,976.641,0.97147,0.74873,0.97789,0.99636,1,0.995,0.79257,0.88662,0.84421,0.99973,0.0010496,0.0010496,0.0010496
50,996.403,0.92421,0.77048,0.97751,0.99629,1,0.995,0.79321,0.82199,0.82441,0.97683,0.0010298,0.0010298,0.0010298
51,1016.23,0.9389,0.73635,0.99256,0.99664,1,0.995,0.8051,0.80333,0.78808,0.97784,0.00101,0.00101,0.00101
52,1036.13,0.95454,0.73767,0.99785,0.99689,1,0.995,0.79512,0.83065,0.72662,1.00331,0.0009902,0.0009902,0.0009902
53,1055.84,0.8553,0.73283,0.93817,0.9969,1,0.995,0.77418,0.85148,0.6776,1.01036,0.0009704,0.0009704,0.0009704
54,1075.49,0.86689,0.66702,0.96613,0.99697,1,0.995,0.7666,0.83642,0.67986,1.01004,0.0009506,0.0009506,0.0009506
55,1095.41,0.92305,0.68636,0.9732,0.99689,1,0.995,0.77741,0.87081,0.70537,1.04126,0.0009308,0.0009308,0.0009308
56,1115.22,0.8843,0.68238,0.98564,0.99676,1,0.995,0.78082,0.91831,0.69882,1.10848,0.000911,0.000911,0.000911
57,1135.01,0.90433,0.66613,0.95503,0.99725,1,0.995,0.75189,0.9574,0.7166,1.12736,0.0008912,0.0008912,0.0008912
58,1154.76,0.87765,0.71262,1.00201,0.99698,1,0.995,0.78147,0.89497,0.71653,1.0633,0.0008714,0.0008714,0.0008714
59,1174.55,0.82523,0.65595,0.94793,0.99708,1,0.995,0.81614,0.87785,0.68073,1.04645,0.0008516,0.0008516,0.0008516
60,1194.35,0.9119,0.64111,0.97715,0.99702,1,0.995,0.78595,0.95353,0.70985,1.11029,0.0008318,0.0008318,0.0008318
